Puissance;Consommation;Poids;Gamme;co2;nox
50;5,4;905;ECONOMIQUE;104;0,006
50;5,1;875;ECONOMIQUE;99;0,006
50;5,3;875;ECONOMIQUE;102;0,005
50;5,4;915;ECONOMIQUE;104;0,006
50;5,1;880;ECONOMIQUE;99;0,006
50;5,3;880;ECONOMIQUE;102;0,005
50;3,6;1155;INFERIEURE;87;0,155
68;4,1;1165;INFERIEURE;95;0,125
68;4,3;1165;INFERIEURE;99;0,125
68;4,3;1160;INFERIEURE;95;0,144
68;4,2;1160;INFERIEURE;95;0,144
68;4,1;1160;INFERIEURE;90;0,144
50;4,5;1145;INFERIEURE;99;0,171
50;4,4;1145;INFERIEURE;95;0,171
68;4,9;1155;INFERIEURE;107;0,151
68;4,9;1155;INFERIEURE;104;0,151
88;9,5;1210;INFERIEURE;155;0,026
88;9,3;1210;INFERIEURE;150;0,026
50;5,2;1048;INFERIEURE;102;0,019
60;5,5;1050;INFERIEURE;104;0,027
60;5,5;1050;INFERIEURE;102;0,027
60;5,6;1050;INFERIEURE;107;0,008
60;5,6;1050;INFERIEURE;107;0,008
60;4,5;1055;INFERIEURE;95;0,054
60;5,2;1055;INFERIEURE;99;0,054
50;5,1;1048;INFERIEURE;99;0,023
50;5;1048;INFERIEURE;95;0,023
88;8;1150;INFERIEURE;138;0,049
84;5,6;1165;INFERIEURE;118;0,132
84;5,5;1165;INFERIEURE;114;0,132
84;5,4;1165;INFERIEURE;109;0,132
84;4,6;1165;INFERIEURE;99;0,135
84;4,4;1280;MOY-INFER;100;0,138
84;4,7;1280;MOY-INFER;103;0,12
84;4,5;1280;MOY-INFER;100;0,12
84;4,6;1280;MOY-INFER;105;0,12
84;4,4;1280;MOY-INFER;97;0,138
84;4,3;1280;MOY-INFER;95;0,138
84;4,2;1280;MOY-INFER;98;0,135
84;4,1;1280;MOY-INFER;95;0,135
84;4,3;1280;MOY-INFER;101;0,135
110;6,6;1395;MOY-INFER;130;0,112
110;6,5;1395;MOY-INFER;127;0,112
68;5;1280;MOY-INFER;109;0,158
68;4,9;1280;MOY-INFER;106;0,158
68;4,8;1280;MOY-INFER;104;0,158
115;8,4;1350;MOY-INFER;145;0,02
115;8,6;1350;MOY-INFER;148;0,02
88;10,1;1345;MOY-INFER;162;0,027
88;10;1345;MOY-INFER;159;0,027
88;8,9;1280;MOY-INFER;146;0,032
88;8,8;1280;MOY-INFER;143;0,032
70;8,2;1275;MOY-INFER;143;0,034
70;8,2;1275;MOY-INFER;140;0,034
84;4,7;1600;MOY-SUPER;111;0,149
84;5,3;1581;MOY-SUPER;120;0,142
103;6,3;1610;MOY-SUPER;130;0,154
120;8,2;1684;MOY-SUPER;163;0,139
120;6,4;1615;MOY-SUPER;129;0,157
150;8;1735;MOY-SUPER;155;0,147
115;10,5;1590;MOY-SUPER;169;0,045
115;9,3;1505;MOY-SUPER;153;0,044
88;8,3;1500;MOY-SUPER;144;0,031
68;4,3;1165;INFERIEURE;99;0,125
68;4,2;1160;INFERIEURE;95;0,144
152;8,7;1231;INFERIEURE;149;0,025
115;8;1231;INFERIEURE;137;0,013
88;9,7;1208;INFERIEURE;154;0,026
88;7,5;1163;INFERIEURE;132;0,049
60;5,6;1107;INFERIEURE;109;0,008
84;4,6;1165;INFERIEURE;99;0,135
68;4,1;1160;INFERIEURE;90;0,144
68;4,3;1160;INFERIEURE;95;0,144
68;4,2;1160;INFERIEURE;95;0,144
68;4,1;1165;INFERIEURE;95;0,125
68;4,3;1165;INFERIEURE;99;0,125
50;4,5;1145;INFERIEURE;99;0,171
50;4,4;1145;INFERIEURE;95;0,171
149;8,7;1240;INFERIEURE;149;0,025
152;8,7;1240;INFERIEURE;149;0,025
115;7,9;1165;INFERIEURE;135;0,013
88;9,5;1164;INFERIEURE;155;0,026
88;9,3;1164;INFERIEURE;150;0,026
88;8;1150;INFERIEURE;138;0,049
88;7,5;1150;INFERIEURE;132;0,049
60;5,6;1050;INFERIEURE;107;0,008
60;5,5;1050;INFERIEURE;104;0,027
60;5,5;1050;MOY-INFER;102;0,027
60;4,5;1055;INFERIEURE;95;0,054
60;5,2;1055;INFERIEURE;99;0,054
84;4,6;1375;MOY-INFER;110;0,142
84;4,8;1375;MOY-INFER;114;0,142
84;5;1370;MOY-INFER;110;0,147
84;5,1;1370;MOY-INFER;113;0,147
84;5,9;1365;MOY-INFER;122;0,157
120;7,4;1505;MOY-INFER;149;0,131
120;6,1;1395;MOY-INFER;130;0,165
100;6,1;1395;MOY-INFER;130;0,165
147;8,4;1391;MOY-INFER;149;0,011
88;8,3;1280;MOY-INFER;144;0,016
88;4,6;1503;MOY-INFER;104;0,027
88;4,6;1503;MOY-INFER;102;0,027
88;4,7;1503;MOY-INFER;105;0,027
133;5,2;1615;MOY-INFER;116;0,037
133;5,2;1615;MOY-INFER;118;0,037
133;5,1;1615;MOY-INFER;114;0,037
84;4,5;1495;MOY-INFER;112;0,121
120;6;1605;MOY-INFER;128;0,138
120;5,9;1605;MOY-INFER;125;0,138
120;5,9;1605;MOY-INFER;125;0,138
115;10,3;1495;MOY-SUPER;169;0,023
115;9,9;1495;MOY-SUPER;165;0,023
147;8,9;1505;MOY-SUPER;155;0,016
50;5,1;875;ECONOMIQUE;99;0,006
50;5,1;875;ECONOMIQUE;99;0,006
50;5,4;915;ECONOMIQUE;104;0,006
50;5,1;880;ECONOMIQUE;99;0,006
50;5,1;1246;INFERIEURE;110;0,137
50;5,1;1259;INFERIEURE;110;0,137
50;5,1;1035;INFERIEURE;99;0,023
60;4,9;1040;INFERIEURE;95;0,047
60;5,5;1035;INFERIEURE;104;0,027
60;5,5;1035;INFERIEURE;102;0,027
50;4,4;1110;INFERIEURE;98;0,152
82;4,6;1150;INFERIEURE;99;0,135
68;4,2;1142;INFERIEURE;95;0,109
68;4,1;1142;INFERIEURE;90;0,109
68;3,8;1142;INFERIEURE;85;0,109
115;7,9;1165;INFERIEURE;135;0,013
88;8,6;1155;INFERIEURE;149;0,026
88;7,4;1155;INFERIEURE;129;0,01
147;8,2;1235;INFERIEURE;139;0,016
50;5,1;1050;INFERIEURE;99;0,023
60;4,9;1055;INFERIEURE;95;0,047
60;5,5;1050;INFERIEURE;104;0,027
60;5,5;1050;INFERIEURE;102;0,027
50;3,6;1135;INFERIEURE;87;0,159
50;4,4;1125;INFERIEURE;98;0,152
82;4,6;1165;INFERIEURE;99;0,135
68;4,1;1155;INFERIEURE;90;0,109
68;4,2;1155;INFERIEURE;95;0,109
68;4,3;1165;INFERIEURE;98;0,125
88;7,4;1165;INFERIEURE;129;0,01
88;8,6;1165;INFERIEURE;149;0,026
68;3,8;1155;INFERIEURE;85;0,109
96;5,8;1165;MOY-INFER;107;0,023
96;6;1165;MOY-INFER;110;0,023
60;6,3;1150;MOY-INFER;114;0,045
85;4,4;1237;MOY-INFER;100;0,138
85;4,2;1237;MOY-INFER;95;0,138
68;4,3;1165;MOY-INFER;93;0,145
92;7,7;1240;MOY-INFER;129;0,009
115;7,9;1240;MOY-INFER;134;0,009
115;7,7;1240;MOY-INFER;129;0,009
110;4,7;1385;MOY-INFER;104;0,048
110;4,7;1365;MOY-INFER;105;0,059
110;4,4;1365;MOY-INFER;99;0,059
84;4,6;1485;MOY-SUPER;104;0,162
115;10,5;1485;MOY-SUPER;164;0,019
115;9;1475;MOY-SUPER;144;0,02
88;9;1465;MOY-SUPER;144;0,028
84;5;1485;MOY-SUPER;109;0,124
133;5,1;1615;MOY-SUPER;111;0,071
103;5,9;1505;MOY-SUPER;115;0,13
120;7,6;1595;MOY-SUPER;149;0,131
120;5,6;1505;MOY-SUPER;119;0,157
150;8;1615;MOY-SUPER;150;0,135
55;7,2;1055;INFERIEURE;130;0,036
55;7,2;1062;INFERIEURE;130;0,036
55;4,3;1146;INFERIEURE;95;0,143
66;4,3;1146;INFERIEURE;95;0,143
66;4,3;1227;INFERIEURE;95;0,166
66;4;1146;INFERIEURE;90;0,135
66;5,6;1084;INFERIEURE;105;0,015
66;5,6;1084;INFERIEURE;105;0,015
88;6,6;1165;INFERIEURE;120;0,02
66;6,2;1084;INFERIEURE;114;0,015
54;7;1055;INFERIEURE;127;0,048
66;3,6;1146;INFERIEURE;83;0,152
147;8,1;1279;INFERIEURE;144;0,023
88;6,6;1165;INFERIEURE;120;0,02
96;6,3;1493;MOY-SUPER;126;0,137
127;6,3;1493;MOY-SUPER;126;0,137
127;7,4;1575;MOY-SUPER;150;0,136
81;4,9;1385;MOY-SUPER;109;0,112
81;5,1;1424;MOY-SUPER;113;0,139
127;7,4;1575;MOY-SUPER;150;0,136
96;5,5;1493;MOY-SUPER;118;0,137
127;5,5;1493;MOY-SUPER;118;0,137
127;7,9;1695;SUPERIEURE;159;0,138
127;7,9;1695;SUPERIEURE;159;0,138
110;5,7;1610;SUPERIEURE;126;0,134
110;5,7;1610;SUPERIEURE;126;0,134
177;10;1730;SUPERIEURE;188;0,153
81;4,2;1290;MOY-INFER;98;0,113
96;5;1395;MOY-INFER;111;0,107
81;5,1;1365;MOY-INFER;110;0,134
120;6,9;1464;MOY-INFER;145;0,146
96;4,8;1395;MOY-INFER;104;0,106
97;6,7;1280;MOY-INFER;124;0,027
70;4,8;1290;MOY-INFER;105;0,139
81;3,9;1290;MOY-INFER;90;0,114
85;6,4;1280;MOY-INFER;119;0,039
97;7,4;1280;MOY-INFER;129;0,013
