hauteur;opercule
9,3;3,72
9,68;3,74
9,4;3,62
9,1;3,6
10,3;3,7
9,06;3,5
8,92;3,32
10,36;3,84
9,72;3,68
11,28;3,92
9,16;3,54
8,56;3,52
9,22;4
10,06;4,46
10,3;4,4
9,12;3,82
9,4;3,62
13;5,9
12,8;4,3
13;5,3
13;3,8
11,4;4,7
11,6;4,7
13;4,8
10,4;3,5
11,1;4,3
12,8;4,7
10,3;4,3
12;4,8
12,3;5
10,5;4,6
12,3;4,5
11,1;4,3
13,1;5
10,6;4,2
10,9;4,4
11,1;4,5
11,2;4,2
9,1;3,4
9,2;3,4
9,8;3,5
9,9;3,8
9,2;3,4
8,8;3,45
8,02;3,4
8,5;3,4
8,8;3,4
9,4;3,7
8,8;3,5
9,2;3,5
8,5;3,6
10;3,65
9;3,5
8,9;3,5
8,8;3,4
9,32;2,78
8,34;2,42
9,38;2,52
8,7;2,32
8,12;2,34
9,88;2,54
9,52;2,6
8,94;2,74
8,08;2,42
8,96;2,48
9,66;2,64
9,4;2,42
9,08;2,44
8,92;2,42
9,64;2,68
9,38;2,5
9,42;1,8
12,5;4,72
13,08;5,64
14,82;5,62
12,6;5,68
12,74;6,14
12,86;5,7
14,12;6,28
12,88;5,52
10,82;5,22
11,94;5,24
11,92;5,5
11,76;4,92
6,09;3,38
5,8;3,44
13,84;6,42
12,44;5,26
11,48;5,22
10,5;4,71
11;5
10;4,2
12;4,72
10,8;5
11,78;5,3
11;4,72
11,38;5,1
11,72;5,1
10,3;4,82
10,9;4,72
10,6;5
10,2;4,52
10,7;4,4
12;5,38
11;5
10,5;4,72
9,5;4
9,14;3,64
8,4;3,4
8,1;3,58
9,02;3,9
9,04;4,12
9,22;3,74
9,08;3,7
8,34;3,8
9,02;3,7
9,02;3,52
8,36;3,82
9,1;3,84
8,84;3,5
9,54;3,3
9,32;3,94
8,84;3,64
8,08;3,76
13,64;5,5
12,75;5
13,9;5
13;5
13,12;5
12,63;5
12,41;5
12,21;5
12;4,72
12,7;5,1
13,02;4,7
12,3;5
11,59;4,71
12,7;5,1
12;4,9
13,46;5,5
13,59;5,5
13,7;5,1
12,43;5,75
14,46;5,3
12,47;4,44
12,46;5,1
13,59;5,43
12,45;4,48
12,32;5,49
12,52;5,48
12,34;5,13
12,46;4,25
12,1;5,5
9,32;3,86
12,88;4,9
10;4
10,7;4,2
10;4,4
10;4,12
9,82;3,94
9,6;3,84
9,72;3,86
10,36;4
10;4
9;3,94
9,12;3,84
9,96;3,94
9,18;3,96
9,16;3,6
