Plante;Dose;Taille
Normale;Controle;28,889
Normale;Controle;30,289
Normale;Controle;29,02
Normale;Controle;32,859
Normale;Controle;33,469
Normale;Controle;30,863
Normale;Controle;29,526
Normale;Controle;34,263
Normale;Controle;29,661
Normale;Controle;30,874
Normale;Controle;34,447
Normale;Controle;28,778
Normale;Controle;26,572
Normale;Controle;28,172
Normale;Controle;29,643
Normale;Controle;25,955
Normale;Controle;34,608
Normale;Controle;33,761
Normale;Faible;42,564
Normale;Faible;43,663
Normale;Faible;47,277
Normale;Faible;44,256
Normale;Faible;44,118
Normale;Faible;43,834
Normale;Faible;44,775
Normale;Faible;46,63
Normale;Faible;47,639
Normale;Faible;44,959
Normale;Faible;41,408
Normale;Faible;37,17
Normale;Faible;38,815
Normale;Faible;42,51
Normale;Faible;46,171
Normale;Faible;44,275
Normale;Faible;39,492
Normale;Faible;38,644
Normale;Forte;22,497
Normale;Forte;23,548
Normale;Forte;20,835
Normale;Forte;22,283
Normale;Forte;27,179
Normale;Forte;22,041
Normale;Forte;29,261
Normale;Forte;31,874
Normale;Forte;29,78
Normale;Forte;31,168
Normale;Forte;27,617
Normale;Forte;28,506
Normale;Forte;21,446
Normale;Forte;25,082
Normale;Forte;22,794
Normale;Forte;21,661
Normale;Forte;23,865
Normale;Forte;24,643
Mutante;Controle;27,674
Mutante;Controle;32,858
Mutante;Controle;29,521
Mutante;Controle;32,129
Mutante;Controle;27,522
Mutante;Controle;26,988
Mutante;Controle;34,592
Mutante;Controle;33,282
Mutante;Controle;33,047
Mutante;Controle;25,551
Mutante;Controle;24,496
Mutante;Controle;35,012
Mutante;Controle;31,05
Mutante;Controle;32,144
Mutante;Controle;26,177
Mutante;Controle;24,887
Mutante;Controle;30,467
Mutante;Controle;26,162
Mutante;Faible;34,729
Mutante;Faible;36,833
Mutante;Faible;30,245
Mutante;Faible;27,625
Mutante;Faible;27,386
Mutante;Faible;29,38
Mutante;Faible;34,333
Mutante;Faible;29,411
Mutante;Faible;29,371
Mutante;Faible;29,535
Mutante;Faible;33,354
Mutante;Faible;34,681
Mutante;Faible;33,027
Mutante;Faible;31,116
Mutante;Faible;25,429
Mutante;Faible;29,837
Mutante;Faible;31,28
Mutante;Faible;28,659
Mutante;Forte;27,954
Mutante;Forte;28,141
Mutante;Forte;29,23
Mutante;Forte;33,008
Mutante;Forte;34,237
Mutante;Forte;32,376
Mutante;Forte;38,755
Mutante;Forte;36,207
Mutante;Forte;34,318
Mutante;Forte;35,717
Mutante;Forte;31,725
Mutante;Forte;34,779
Mutante;Forte;32,344
Mutante;Forte;31,142
Mutante;Forte;33,609
Mutante;Forte;26,212
Mutante;Forte;29,496
Mutante;Forte;28,771
