pH;Species;Biomass
high;30;12,485
high;39;8,674
high;44;7,342
high;35;5,811
high;25;6,751
high;29;9,332
high;23;2,665
high;18;8,147
high;19;3,278
high;12;6,981
high;39;3,766
high;35;7,514
high;30;10,378
high;30;9,533
high;33;6,227
high;20;8,408
high;26;6,747
high;36;5,623
high;18;7,052
high;7;7,423
high;39;6,543
high;39;2,683
high;34;4,698
high;31;4,626
high;24;6,24
high;25;5,677
high;20;7,985
high;21;3,97
high;12;5,5
high;11;9,246
mid;29;4,627
mid;30;8,721
mid;21;4,911
mid;18;3,009
mid;13;3,737
mid;13;7,512
mid;9;8,689
mid;24;6,974
mid;26;7,668
mid;26;5,841
mid;20;6,026
mid;21;0,143
mid;15;6,908
mid;8;5,553
mid;31;3,711
mid;28;7,671
mid;18;7,105
mid;16;7,548
mid;19;11,636
mid;20;4,959
mid;6;6,005
mid;25;7,393
mid;23;6,732
mid;25;7,861
mid;22;7,168
mid;15;4,321
mid;11;3,573
mid;17;11,454
mid;24;6,705
mid;27;6,681
low;18;10,285
low;19;6,089
low;15;5,137
low;19;10,733
low;12;5,693
low;11;9,749
low;15;6,324
low;9;4,949
low;3;8,142
low;2;7,128
low;18;7,513
low;19;8,6
low;13;7,291
low;9;8,618
low;8;6,509
low;14;8,392
low;13;7,081
low;4;5,055
low;8;4,539
low;2;1,229
low;17;5,58
low;14;4,94
low;15;4,927
low;17;5,494
low;9;6,915
low;8;7,309
low;12;9,872
low;14;4,422
low;7;5,329
low;3;6,952
