model;banquise;temp
IPSL-CM6A-LR;10.6999473572;13.2391796112
IPSL-CM6A-LR;9.0467967987;13.3339891434
IPSL-CM6A-LR;11.5388069153;13.0054740906
IPSL-CM6A-LR;9.3753538132;13.0974836349
IPSL-CM6A-LR;10.9564113617;13.0543260574
IPSL-CM6A-LR;8.9551172256;13.3772068024
IPSL-CM6A-LR;11.3499746323;12.9091596603
IPSL-CM6A-LR;9.8562326431;13.2014884949
IPSL-CM6A-LR;10.2277011871;13.2363443375
IPSL-CM6A-LR;9.9340486526;13.2671651840
IPSL-CM6A-LR;10.6188526154;13.2215099335
IPSL-CM6A-LR;9.1790552139;13.2619714737
IPSL-CM6A-LR;11.4475126266;12.9763126373
IPSL-CM6A-LR;8.4533672333;13.1970300674
IPSL-CM6A-LR;10.5476837158;13.2933750153
IPSL-CM6A-LR;9.0705633163;13.3111619949
IPSL-CM6A-LR;10.4626150131;13.2284154892
IPSL-CM6A-LR;9.5019168854;13.3615694046
IPSL-CM6A-LR;9.9640731812;13.2403116226
IPSL-CM6A-LR;9.2440900803;13.3654279709
IPSL-CM6A-LR;10.5011768341;13.3448514938
IPSL-CM6A-LR;9.3736658096;13.3286256790
IPSL-CM6A-LR;10.9437751770;13.0877571106
IPSL-CM6A-LR;9.3465671539;13.2211914063
IPSL-CM6A-LR;11.0336894989;13.0432853699
IPSL-CM6A-LR;8.8401775360;13.2252254486
IPSL-CM6A-LR;10.5299167633;13.1887826920
IPSL-CM6A-LR;9.7597570419;13.4789419174
IPSL-CM6A-LR;10.9218606949;13.0901823044
IPSL-CM6A-LR;9.1480340958;13.2880353928
IPSL-CM6A-LR;10.5374994278;13.1673307419
IPSL-CM6A-LR;9.1109981537;13.3715267181
IPSL-CM6A-LR;10.8103275299;13.2346735001
IPSL-CM6A-LR;10.6789627075;13.2512073517
IPSL-CM6A-LR;10.0028209686;13.3570432663
IPSL-CM6A-LR;9.2969436646;13.4783353806
IPSL-CM6A-LR;10.8883590698;13.1324758530
IPSL-CM6A-LR;9.4649543762;13.1783943176
IPSL-CM6A-LR;10.8146066666;13.1823110580
IPSL-CM6A-LR;9.2004919052;13.2552757263
IPSL-CM6A-LR;11.0350494385;13.2000684738
IPSL-CM6A-LR;10.1280307770;13.1075725555
IPSL-CM6A-LR;10.6642808914;13.2565078735
IPSL-CM6A-LR;9.5140018463;13.4246587753
IPSL-CM6A-LR;10.6456260681;13.1427345276
IPSL-CM6A-LR;9.9897670746;13.3092365265
IPSL-CM6A-LR;11.5047731400;13.0171022415
IPSL-CM6A-LR;8.8966197968;13.2668199539
IPSL-CM6A-LR;10.5497398376;13.2213649750
IPSL-CM6A-LR;9.6577548981;13.4337196350
IPSL-CM6A-LR;10.7311105728;13.2367286682
IPSL-CM6A-LR;9.2892007828;13.3551368713
IPSL-CM6A-LR;10.2169256210;13.2868003845
IPSL-CM6A-LR;10.0052204132;13.2608232498
IPSL-CM6A-LR;10.4902992249;13.2772006989
IPSL-CM6A-LR;9.8116559982;13.4111776352
IPSL-CM6A-LR;11.4159002304;13.1046714783
IPSL-CM6A-LR;9.4255304337;13.1590728760
IPSL-CM6A-LR;10.7155771255;13.1655473709
IPSL-CM6A-LR;8.8228502274;13.4169273376
IPSL-CM6A-LR;10.5857915878;13.1839761734
IPSL-CM6A-LR;9.7846784592;13.1126585007
IPSL-CM6A-LR;10.7806529999;13.1576089859
IPSL-CM6A-LR;9.6944112778;13.3346281052
MPI-ESM1-2-LR;9.7837591171;13.7945356369
MPI-ESM1-2-LR;8.6667842865;13.9301128387
MPI-ESM1-2-LR;9.8851156235;13.7618751526
MPI-ESM1-2-LR;8.7651414871;13.8819274902
MPI-ESM1-2-LR;9.5549850464;13.8352670670
MPI-ESM1-2-LR;8.9086294174;14.0007486343
MPI-ESM1-2-LR;9.8824682236;13.7889108658
MPI-ESM1-2-LR;8.9702005386;13.9605245590
MPI-ESM1-2-LR;9.7048254013;13.8912420273
MPI-ESM1-2-LR;8.9770917892;13.8747053146
MPI-ESM1-2-LR;9.8755340576;13.7733030319
MPI-ESM1-2-LR;8.9545965195;13.8605527878
MPI-ESM1-2-LR;9.7350168228;13.8566989899
MPI-ESM1-2-LR;8.7809104919;13.8874225616
MPI-ESM1-2-LR;9.7164964676;13.7667398453
MPI-ESM1-2-LR;8.7694396973;13.9849691391
MPI-ESM1-2-LR;9.6999845505;13.8794012070
MPI-ESM1-2-LR;9.2472190857;13.9259891510
MPI-ESM1-2-LR;9.8521518707;13.8122138977
MPI-ESM1-2-LR;8.7217817307;13.9860620499
CESM2;10.5926036835;14.2135734558
CESM2;9.1318950653;14.3053169250
CESM2;10.4985008240;14.2104301453
CESM2;9.4688386917;14.1874666214
CESM2;10.4140520096;14.1863107681
CESM2;9.1430568695;14.2915086746
CESM2;10.4350395203;14.2454166412
CESM2;8.8334159851;14.4064941406
CESM2;10.4477758408;14.2175655365
CESM2;9.0713787079;14.3196926117
CESM2;10.4479837418;14.1913948059
CESM2;9.0541677475;14.3467521667
CESM2;10.1732492447;14.2719526291
CESM2;9.3148307800;14.3924760818
CESM2;10.5120258331;14.1385154724
CESM2;8.9113864899;14.2808361053
CESM2;10.4328908920;14.2944822311
CESM2;8.8841152191;14.3889532089
CESM2;10.4556493759;14.2265977859
CESM2;9.0301237106;14.2840671539
CESM2;10.4328203201;14.2373819351
CESM2;8.7136573792;14.3086128235
