LogDose;Sexe;Survie
0;M;0
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
0;M;1
1;M;0
1;M;0
1;M;0
1;M;0
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
1;M;1
2;M;0
2;M;0
2;M;0
2;M;0
2;M;0
2;M;0
2;M;0
2;M;0
2;M;0
2;M;1
2;M;1
2;M;1
2;M;1
2;M;1
2;M;1
2;M;1
2;M;1
2;M;1
2;M;1
2;M;1
3;M;0
3;M;0
3;M;0
3;M;0
3;M;0
3;M;0
3;M;0
3;M;0
3;M;0
3;M;0
3;M;0
3;M;0
3;M;0
3;M;1
3;M;1
3;M;1
3;M;1
3;M;1
3;M;1
3;M;1
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;0
4;M;1
4;M;1
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
5;M;0
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
0;F;1
1;F;0
1;F;0
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
1;F;1
2;F;0
2;F;0
2;F;0
2;F;0
2;F;0
2;F;0
2;F;1
2;F;1
2;F;1
2;F;1
2;F;1
2;F;1
2;F;1
2;F;1
2;F;1
2;F;1
2;F;1
2;F;1
2;F;1
2;F;1
3;F;0
3;F;0
3;F;0
3;F;0
3;F;0
3;F;0
3;F;0
3;F;0
3;F;0
3;F;0
3;F;1
3;F;1
3;F;1
3;F;1
3;F;1
3;F;1
3;F;1
3;F;1
3;F;1
3;F;1
4;F;0
4;F;0
4;F;0
4;F;0
4;F;0
4;F;0
4;F;0
4;F;0
4;F;0
4;F;0
4;F;0
4;F;0
4;F;1
4;F;1
4;F;1
4;F;1
4;F;1
4;F;1
4;F;1
4;F;1
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;0
5;F;1
5;F;1
5;F;1
5;F;1
