Test;Masse;Vitesse;Fissure
0;1153;Faible;Absente
1;1109;Moyenne;Absente
0;1115;Forte;Absente
0;602;Faible;Presente
1;507;Moyenne;Presente
1;897;Forte;Presente
0;1017;Faible;Absente
0;659;Moyenne;Absente
0;874;Forte;Absente
1;908;Faible;Presente
0;769;Moyenne;Presente
1;691;Forte;Presente
0;971;Faible;Absente
0;1057;Moyenne;Absente
1;750;Forte;Absente
1;522;Faible;Presente
1;776;Moyenne;Presente
1;1364;Forte;Presente
0;1199;Faible;Absente
0;1188;Moyenne;Absente
0;673;Forte;Absente
1;1331;Faible;Presente
1;844;Moyenne;Presente
1;872;Forte;Presente
0;1262;Faible;Absente
0;1083;Moyenne;Absente
1;1319;Forte;Absente
1;530;Faible;Presente
0;1096;Moyenne;Presente
1;938;Forte;Presente
0;1039;Faible;Absente
0;845;Moyenne;Absente
1;861;Forte;Absente
1;1011;Faible;Presente
1;781;Moyenne;Presente
1;998;Forte;Presente
0;754;Faible;Absente
1;757;Moyenne;Absente
1;885;Forte;Absente
1;1123;Faible;Presente
1;1017;Moyenne;Presente
1;1345;Forte;Presente
0;743;Faible;Absente
0;819;Moyenne;Absente
0;1224;Forte;Absente
1;934;Faible;Presente
1;1272;Moyenne;Presente
1;1118;Forte;Presente
0;539;Faible;Absente
0;933;Moyenne;Absente
1;675;Forte;Absente
0;1068;Faible;Presente
0;1574;Moyenne;Presente
1;1312;Forte;Presente
0;1173;Faible;Absente
1;704;Moyenne;Absente
1;934;Forte;Absente
0;791;Faible;Presente
0;793;Moyenne;Presente
1;1083;Forte;Presente
0;780;Faible;Absente
1;1104;Moyenne;Absente
1;1010;Forte;Absente
0;783;Faible;Presente
1;1014;Moyenne;Presente
1;1632;Forte;Presente
0;1125;Faible;Absente
1;1257;Moyenne;Absente
1;866;Forte;Absente
1;459;Faible;Presente
0;1362;Moyenne;Presente
1;1252;Forte;Presente
0;1209;Faible;Absente
0;1181;Moyenne;Absente
1;929;Forte;Absente
0;745;Faible;Presente
1;1528;Moyenne;Presente
1;783;Forte;Presente
0;1434;Faible;Absente
0;1093;Moyenne;Absente
1;1160;Forte;Absente
0;1705;Faible;Presente
1;978;Moyenne;Presente
1;1424;Forte;Presente
0;614;Faible;Absente
0;626;Moyenne;Absente
1;516;Forte;Absente
0;1510;Faible;Presente
1;900;Moyenne;Presente
1;1173;Forte;Presente
0;702;Faible;Absente
0;578;Moyenne;Absente
0;665;Forte;Absente
0;1068;Faible;Presente
1;679;Moyenne;Presente
1;1161;Forte;Presente
1;922;Faible;Absente
0;854;Moyenne;Absente
0;947;Forte;Absente
1;1149;Faible;Presente
1;934;Moyenne;Presente
0;1124;Forte;Presente
0;1022;Faible;Absente
0;1271;Moyenne;Absente
1;1208;Forte;Absente
1;1376;Faible;Presente
0;809;Moyenne;Presente
1;1026;Forte;Presente
0;738;Faible;Absente
1;1266;Moyenne;Absente
1;1072;Forte;Absente
1;1319;Faible;Presente
1;362;Moyenne;Presente
1;648;Forte;Presente
0;1095;Faible;Absente
0;518;Moyenne;Absente
1;942;Forte;Absente
0;942;Faible;Presente
1;1070;Moyenne;Presente
1;1039;Forte;Presente
0;506;Faible;Absente
1;1541;Moyenne;Absente
1;743;Forte;Absente
1;984;Faible;Presente
0;1524;Moyenne;Presente
1;1028;Forte;Presente
0;825;Faible;Absente
0;620;Moyenne;Absente
1;1201;Forte;Absente
1;1189;Faible;Presente
1;1501;Moyenne;Presente
1;924;Forte;Presente
0;807;Faible;Absente
0;913;Moyenne;Absente
1;749;Forte;Absente
0;1250;Faible;Presente
1;661;Moyenne;Presente
1;835;Forte;Presente
0;1179;Faible;Absente
0;1215;Moyenne;Absente
1;1265;Forte;Absente
1;757;Faible;Presente
1;746;Moyenne;Presente
1;677;Forte;Presente
0;775;Faible;Absente
0;768;Moyenne;Absente
0;1191;Forte;Absente
1;728;Faible;Presente
0;1090;Moyenne;Presente
1;1216;Forte;Presente
0;1088;Faible;Absente
0;1443;Moyenne;Absente
0;661;Forte;Absente
0;825;Faible;Presente
1;1108;Moyenne;Presente
1;838;Forte;Presente
0;1186;Faible;Absente
0;1259;Moyenne;Absente
0;1192;Forte;Absente
1;924;Faible;Presente
1;1042;Moyenne;Presente
1;1226;Forte;Presente
0;861;Faible;Absente
1;1805;Moyenne;Absente
1;1188;Forte;Absente
1;1010;Faible;Presente
1;931;Moyenne;Presente
1;1997;Forte;Presente
0;940;Faible;Absente
0;796;Moyenne;Absente
1;887;Forte;Absente
1;1250;Faible;Presente
1;1023;Moyenne;Presente
1;847;Forte;Presente
0;1331;Faible;Absente
0;624;Moyenne;Absente
0;568;Forte;Absente
1;933;Faible;Presente
1;673;Moyenne;Presente
1;993;Forte;Presente
0;1089;Faible;Absente
1;464;Moyenne;Absente
1;680;Forte;Absente
1;1222;Faible;Presente
1;850;Moyenne;Presente
1;1136;Forte;Presente
0;884;Faible;Absente
0;1086;Moyenne;Absente
0;1203;Forte;Absente
0;859;Faible;Presente
0;1348;Moyenne;Presente
1;581;Forte;Presente
0;861;Faible;Absente
1;886;Moyenne;Absente
0;591;Forte;Absente
0;1189;Faible;Presente
1;893;Moyenne;Presente
1;999;Forte;Presente
0;846;Faible;Absente
0;1232;Moyenne;Absente
0;1112;Forte;Absente
0;1004;Faible;Presente
1;807;Moyenne;Presente
1;432;Forte;Presente
1;1532;Faible;Absente
1;622;Moyenne;Absente
0;1124;Forte;Absente
0;403;Faible;Presente
1;1194;Moyenne;Presente
1;542;Forte;Presente
