site;polluant;poids
Site A;10,57099876;50,09554947
Site A;20,61211416;45,38163042
Site A;28,88182324;41,16404024
Site A;7,718021711;50,72289881
Site A;27,93674239;37,26994745
Site A;25,45185917;42,61872543
Site A;26,28126597;44,62486227
Site A;41,74915319;32,61588912
Site A;6,717138766;44,31015248
Site A;44,01053083;34,62030605
Site B;13,82827606;33,17330326
Site B;8,031721437;31,39387283
Site B;14,25462265;36,63095919
Site B;28,78978554;20,11622167
Site B;27,2806856;25,36744234
Site B;20,38515355;18,01507661
Site B;10,70474004;30,78404587
Site B;15,27635783;33,89909894
Site B;43,36470436;14,91369913
Site B;27,99717412;20,05460638
Site C;16,32274417;26,81212073
Site C;10,865489;23,12276634
Site C;21,94407731;22,44350568
Site C;0,0028774;24,29965033
Site C;17,73317336;17,62437144
Site C;13,88391009;23,18803555
Site C;22,40923669;8,023878389
Site C;40,18100687;18,61711848
Site C;23,91882289;24,15635665
Site C;7,948265529;24,53271187
