Thyroide;Poids;Traitement
7.3;28.1;Controle
6.9;30.2;Controle
6;26.3;Controle
9.5;33.2;Controle
7.9;31.6;Controle
8.8;31.6;Controle
4.8;21.3;Controle
5;28.6;Controle
7;26.7;Controle
7.8;27.6;Controle
7;26.8;Controle
7.8;29.5;Controle
8;34.3;Controle
5.4;21.9;Controle
9.7;34.1;Controle
4.1;22.6;Controle
6.6;23.7;Controle
7.4;30.9;Controle
7.8;31;Controle
7.1;29.5;Controle
7.4;23.4;Hormone
9.4;28.8;Hormone
7.6;24.6;Hormone
10.7;32.5;Hormone
11.2;29.1;Hormone
9.1;33.2;Hormone
8.2;24.1;Hormone
11.3;34.2;Hormone
9.1;28.2;Hormone
11.1;31.1;Hormone
10.1;28.9;Hormone
7.2;25;Hormone
8.7;27.2;Hormone
8.9;27.9;Hormone
6.8;23.4;Hormone
8.7;21.8;Hormone
10.1;29.4;Hormone
7.3;25.9;Hormone
9;30.9;Hormone
