Lieu;Mineralisation;Surface
Versant;73;1.22231055
Versant;87;1.205233951
Versant;63;0.924509598
Versant;104;1.521363844
Versant;42;0.606156534
Versant;56;0.975103962
Versant;87;1.192714206
Versant;75;1.005427572
Versant;80;1.188326071
Versant;94;1.378403718
Versant;63;0.962145014
Versant;89;1.330513707
Versant;79;1.163463788
Versant;73;1.202114578
Versant;85;1.284002097
Versant;82;1.256677375
Versant;93;1.290303669
Versant;79;1.314991382
Versant;79;1.318431996
Versant;96;1.526664065
Versant;84;1.38782139
Versant;37;0.535748825
Versant;79;1.195890427
Versant;61;1.080083568
Versant;80;1.230849738
Versant;74;1.336569462
Versant;94;1.350557987
Versant;73;1.08294036
Versant;85;1.280174209
Versant;104;1.465845674
Versant;88;1.197429364
Versant;70;1.01686983
Versant;63;0.985113255
Versant;91;1.331424301
Versant;94;1.323968867
Versant;106;1.628718241
Versant;69;0.921330244
Versant;121;1.914105431
Versant;109;1.750796157
Versant;76;1.076079497
Versant;77;1.147474988
Versant;47;0.795542946
Versant;95;1.392448944
Versant;99;1.545109675
Versant;87;1.473588641
Versant;40;0.496510169
Versant;114;1.651504951
Versant;86;1.351500834
Versant;61;0.80380673
Versant;84;1.358725897
Versant;85;1.280895584
Versant;92;1.405245566
Versant;92;1.349121959
Versant;72;1.131567477
Versant;75;1.237763623
Versant;67;1.073855757
Versant;82;0.997624522
Versant;62;0.953364629
Versant;77;1.300143088
Versant;87;1.310153147
Versant;63;1.042897711
Versant;68;0.942902922
Versant;102;1.472124069
Versant;89;1.308041206
Versant;60;0.855647434
Versant;74;1.105798872
Versant;88;1.089454748
Versant;69;1.013873427
Versant;82;1.235291898
Versant;75;1.123633846
Versant;87;1.530844482
Versant;63;0.883562151
Versant;98;1.499681928
Versant;67;1.013782359
Versant;65;0.923998102
Versant;109;1.581984138
Versant;76;1.134049141
Versant;85;1.382001959
Versant;79;1.186904753
Versant;98;1.607278451
Versant;81;1.265536161
Versant;90;1.436962303
Versant;76;1.256049942
Versant;84;1.273940256
Versant;69;0.909422225
Versant;78;1.056588372
Versant;74;1.189408139
Versant;74;1.014655263
Versant;80;1.226152408
Vallee;76;2.648707487
Vallee;89;3.493019767
Vallee;71;2.887635235
Vallee;92;3.494654202
Vallee;77;2.933126638
Vallee;77;2.800725354
Vallee;96;3.624897956
Vallee;102;3.840909794
Vallee;68;2.753732606
Vallee;38;1.681725281
Vallee;53;2.186138448
Vallee;59;2.375984983
Vallee;82;3.205083966
Vallee;102;3.870258833
Vallee;85;3.364796623
Vallee;65;2.58721354
Vallee;69;2.565577636
Vallee;64;2.750942875
Vallee;86;3.238833301
Vallee;65;2.496626221
Vallee;90;3.513556663
Vallee;68;2.524287215
Vallee;86;3.21158597
Vallee;64;2.512746104
Vallee;91;3.422096196
Vallee;69;2.719524885
Vallee;84;3.097573633
Vallee;62;2.553234511
Vallee;98;3.703954613
Vallee;65;2.578178503
Vallee;114;4.43788442
Vallee;90;3.357942213
Vallee;97;3.655831493
Vallee;86;3.240246763
Vallee;100;3.641784974
Vallee;52;2.130673879
Vallee;64;2.658485448
Vallee;84;3.245444638
Vallee;61;2.428620674
Vallee;90;3.408285789
Vallee;110;4.174832743
Vallee;71;2.6787349
Vallee;100;3.674815168
Vallee;72;2.691735796
Vallee;85;3.374496315
Vallee;84;3.305151317
Vallee;83;3.092746377
Vallee;92;3.664646864
Vallee;111;4.228771052
Vallee;90;3.407212975
Vallee;98;3.774961871
Vallee;76;2.980763762
Vallee;83;2.898603369
Vallee;77;2.943807631
Vallee;69;2.689705656
Vallee;97;3.697583111
Vallee;75;3.039058188
Vallee;95;3.367437212
Vallee;61;2.539072876
Vallee;87;3.251394668
Vallee;84;3.102947141
Vallee;70;2.784615766
Vallee;83;2.984135707
Vallee;67;2.518784
Vallee;85;3.189659282
Vallee;50;2.303705474
Vallee;79;2.910312133
Vallee;60;2.493859151
Vallee;68;2.847072634
Vallee;79;3.061617084
Vallee;88;3.462526915
Vallee;71;2.767575966
Vallee;49;1.832119774
Vallee;96;3.741082409
Vallee;74;2.936813244
Vallee;129;4.663565782
Vallee;86;3.323985247
Vallee;82;3.045792575
Vallee;74;3.085059219
Vallee;95;3.622822168
Vallee;49;2.110886482
Vallee;67;2.458259975
